"id","product_name","expiration","detail","created_at","updated_at","open_date","consumed","user_id"
1172,"ロティサリーチキン","2020-09-12","エスビー","2020-02-26 07:54:33","2020-02-26 07:54:33",NULL,1,1
1182,"糸唐辛子","2022-01-17","ヤスマ","2020-02-26 07:55:16","2020-02-26 07:55:16",NULL,1,1
1192,"食べるごま油","2021-02-24","小田原屋","2020-03-14 08:17:23","2020-03-14 08:17:23",NULL,1,1
1212,"ジェノバソース","2021-07-31","コルドンヴェール","2020-03-14 08:19:05","2020-03-14 08:19:05",NULL,1,1
1222,"さば水煮ニンニク入り","2022-12-03","伊藤食品","2020-03-14 08:20:09","2020-03-14 08:20:09",NULL,1,1
1232,"全粒粉カレー","2021-05-14","","2020-03-14 08:20:43","2020-03-14 08:20:43",NULL,1,1
1242,"全粒粉カレー","2021-05-14","SB","2020-03-14 08:21:14","2020-03-14 08:21:14",NULL,1,1
1252,"肉汁うどんつゆ","2020-09-04","日清チルド","2020-03-14 08:22:15","2020-03-14 08:22:15",NULL,1,1
1272,"干しえのき","2020-12-15","丸金","2020-03-14 08:37:59","2020-03-14 08:37:59",NULL,1,1
1282,"柚子こしょう","2020-10-17","大分千歳村農産加工","2020-03-14 08:38:59","2020-03-14 08:38:59",NULL,1,1
1292,"炊込みわかめ 味噌","2020-12-16","三島食品","2020-03-14 08:39:54","2020-03-14 08:39:54",NULL,1,1
1302,"まろやかなお酢","2021-01-30","創味食品","2020-03-27 06:08:49","2020-03-27 06:08:49",NULL,1,1
1312,"ウスターソース","2022-02-11","ブルドックソース","2020-03-27 06:09:42","2020-03-27 06:09:42",NULL,1,1
1322,"米酢","2022-02-22","ミツカン","2020-03-27 06:10:27","2020-03-27 06:10:27",NULL,1,1
1332,"サルサソース","2021-12-04","カゴメ","2020-03-27 06:10:45","2020-03-27 06:11:14",NULL,1,1
1342,"ビーフシチュー","2021-01-01","グリコ","2020-03-27 06:11:57","2020-03-27 06:11:57",NULL,1,1
1352,"シチュー","2020-11-15","SB","2020-03-27 06:12:45","2020-03-27 06:12:45",NULL,1,1
1362,"あぶら麩","2020-05-21","山形食品","2020-03-27 06:13:59","2020-03-27 06:13:59",NULL,1,1
1372,"かんぴょう","2020-12-12","高山俊一郎商店","2020-03-27 06:14:52","2020-03-27 06:14:52",NULL,1,1
1382,"ブラックペッパー","2022-01-29","ギャバン","2020-03-27 06:15:33","2020-03-27 06:15:33",NULL,1,1
1392,"スィートバジル","2021-06-04","SB","2020-03-27 06:16:21","2020-03-27 06:16:21",NULL,1,1
1402,"スィートバジル","2021-06-04","SB","2020-03-27 06:17:18","2020-03-27 06:17:18",NULL,1,1
1412,"ホワイトペッパー","2021-11-30","SB","2020-03-27 06:17:56","2020-03-27 06:17:56",NULL,1,1
1422,"てんさい糖",NULL,"ホクレン","2020-03-27 06:19:02","2020-03-27 06:19:02",NULL,1,1
1432,"焼肉のたれ","2020-11-08","永野","2020-03-27 06:19:39","2020-03-27 06:19:39",NULL,1,1
1442,"焼肉のたれ","2020-10-05","","2020-03-27 06:20:21","2020-03-27 06:20:21",NULL,1,1
1452,"中華あんかけ","2021-07-07","サンフーズ","2020-03-27 06:21:10","2020-03-27 06:21:10",NULL,1,1
1462,"こうや豆腐","2020-07-08","旭松食品","2020-03-27 06:22:10","2020-03-27 06:22:10",NULL,1,1
1472,"トマトピューレ","2021-12-14","キッコーマン","2020-03-27 06:23:07","2020-03-27 06:23:07",NULL,1,1
1482,"トマトピューレ","2021-12-14","キッコーマン","2020-03-27 06:23:39","2020-03-27 06:23:39",NULL,1,1
1492,"鶏丸ごとがらスープ","2021-07-30","SB","2020-03-27 06:24:40","2020-03-27 06:24:40",NULL,1,1
1502,"こんぶ茶","2022-02-03","玉露園","2020-03-27 06:25:28","2020-03-27 06:25:28",NULL,1,1
1512,"ホワイトソース","2021-12-16","アリアケジャパン","2020-03-27 06:26:14","2020-03-27 06:26:14",NULL,1,1
1522,"ホワイトソース","2021-09-10","アリアケジャパン","2020-03-27 06:26:59","2020-03-27 06:26:59",NULL,1,1
1532,"ゆがき大根","2020-06-01","真田","2020-03-27 06:27:43","2020-03-27 06:27:43",NULL,1,1
1542,"ローズマリー","2021-07-22","SB","2020-03-27 06:28:16","2020-03-27 06:28:16",NULL,1,1
1552,"あかり　ふりかけ","2020-12-13","三島食品","2020-03-27 06:29:01","2020-03-27 06:29:01",NULL,1,1
1562,"かおり　ふりかけ","2021-02-26","三島食品","2020-03-27 06:29:37","2020-03-27 06:29:37",NULL,1,1
1572,"サヴァ缶","2022-07-29","岩手缶詰","2020-05-08 23:36:10","2020-05-08 23:36:10",NULL,1,1
1582,"サヴァ缶アクアパッツァ","2022-12-17","岩手缶詰","2020-05-08 23:37:03","2020-05-08 23:37:03",NULL,1,1
1592,"ポン酢","2021-03-01","森田醤油","2020-05-08 23:37:52","2020-05-08 23:37:52",NULL,1,1
1602,"九州ドライベジ","2020-10-08","","2020-05-08 23:38:46","2020-05-08 23:38:46",NULL,1,1
1612,"五目ちらし","2021-04-01","真富士屋食品","2020-05-08 23:39:40","2020-05-08 23:39:40",NULL,1,1
1622,"米油","2021-04-16","J-オイルミルズ","2020-05-09 00:01:11","2020-05-09 00:01:11",NULL,1,1
1632,"青椒肉絲","2021-10-01","味の素","2020-05-12 09:10:17","2020-05-12 09:10:17",NULL,1,1
1642,"ナス漬けの素","2021-03-10","マルコ食品","2020-05-14 11:33:10","2020-05-14 11:33:10",NULL,1,1
1652,"あごだし浅漬けの素","2020-11-03","久原醤油","2020-05-14 11:34:06","2020-05-14 11:34:06",NULL,1,1
1662,"エビチリソース","2021-09-01","味の素","2020-05-14 11:35:16","2020-05-14 11:35:16",NULL,1,1
1672,"野菜サラダのたれ 叙々苑","2020-12-30","ジェーオーシー","2020-05-14 11:41:09","2020-05-14 11:41:09",NULL,1,1
1682,"山わさびまぜそば","2020-10-17","藤原製麺","2020-05-14 11:42:26","2020-05-14 11:42:26",NULL,1,1
1692,"いわて盛岡冷麺","2020-09-09","戸田久","2020-05-14 11:43:08","2020-05-14 11:43:08",NULL,1,1
